frequency_hz,vr_vi,phase_deg
250,0.0152,-90
610,0.0367,-86
1300,0.0800,-81
2360,0.1809,-74
2740,0.2283,-70
3000,0.2689,-65
3450,0.3333,-60
3700,0.4095,-55
3950,0.4752,-48
4050,0.4928,-43
4200,0.5276,-36
4400,0.5914,-30
4500,0.6099,-24
4600,0.6333,-20
4700,0.6461,-16
4800,0.6705,-10
4900,0.6686,-5
5000,0.6629,0
5100,0.6392,5
5200,0.6404,9
5300,0.6111,15
5450,0.5989,20
5550,0.5652,25
5800,0.5105,33
6100,0.4850,40
6500,0.4231,46
6800,0.3897,51
7100,0.3611,55
7750,0.3018,60
8400,0.2675,64
10150,0.1957,70
11550,0.1639,75
16100,0.1116,80
20100,0.0785,83
26050,0.0638,86
40000,0.0287,87
