IB_uA,VCE_V,IC_mA
0,1,0.1
0,2,0.2
0,3,0.3
0,4,0.3
0,5,0.4
0,6,0.6
0,7,0.7
0,8,0.8
0,9,0.9
0,10,1.0
0,13,1.1
0,15,1.3
0,20,1.6
0,25,1.8
0,28,2.0
10,0.04,0.002
10,0.078,0.014
10,0.121,0.015
10,0.400,0.017
10,0.514,0.030
10,0.492,0.112
10,0.560,0.226
10,0.580,0.567
10,0.610,0.978
10,0.611,1.881
10,12.2,1.890
10,16.5,1.895
10,20.1,1.896
10,24.7,1.897
10,29.0,1.898
20,0.080,0.09
20,0.085,0.69
20,0.120,2.03
20,0.150,2.68
20,0.215,3.05
20,0.325,3.11
20,0.530,3.12
20,0.852,3.13
20,0.950,3.13
20,1.06,3.13
20,12.1,3.14
20,16.3,3.14
20,20.2,3.14
20,25.0,3.15
20,29.2,3.15
30,0.034,0.027
30,0.071,0.072
30,0.140,3.48
30,0.160,4.11
30,0.220,4.62
30,0.330,4.69
30,0.550,4.70
30,0.800,4.71
30,0.950,4.72
30,1.040,4.72
30,12.0,4.73
30,16.4,4.73
30,20.3,4.74
30,25.1,4.74
30,29.1,4.75
40,0.040,0.20
40,0.080,1.45
40,0.140,4.61
40,0.160,5.50
40,0.260,6.17
40,0.320,6.25
40,0.550,6.27
40,0.860,6.24
40,0.980,6.29
40,1.040,6.30
40,12.1,6.31
40,16.2,6.32
40,20.2,6.31
40,25.0,6.33
40,29.2,6.34
